"（家庭的


H2
（２
",,,,"的


29
２
",,"的保
",,,,,,,,,,"小
",,,,,"規模
",,,,,,,,,,,,,,,,,,,,,,,,,"業所内


（予
ども
時点
","内


予
",,,,,,,,,
,,,,,,,,,,,,"事業


年
・
成
",,,,,,,,,,,,,,,,"保


設
認
1
",,,"育事


 一
認定
月
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"小規


 施
３号
年
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"育事業・小


 年度施
号・３
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"的


2
２
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"模


施
号
1
",,,,,,,,,,,,,,,,,,,,,,,,,,,"内保育事


予定）
も用
",,,,,,
,,,,,,,,,"保育事業・小規模保育事業・事業所内保育事業）
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"9年度施設一覧（予定）
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"２号・３号認定子ども用）
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"平
",,,,"平成
",,,,,,,"8年
",,,"年1
",,,,,,,"11月
",,,"月11
",,,,,,"1日
",,,,,,"日時
",,,,,,"点
",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"○保育所 …… 共働きなど家庭で保育ができない保護者に代わって保育を行う児童福祉施設
  ＊利用時間：朝～夕（０歳 ～ 満３歳未満） 【３号認定が必要】
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"〃 （満３歳以上～小学校就学前）【２号認定が必要】
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"       （基本的に、利用時間の前後に延長保育を行っています。）

○認定こども園 …… 保護者の働いているいないに関わらず、教育・保育を一体的に行う施設
  神戸市には以下の２類型があります（平成28年度現在）。
・幼保連携型認定こども園 … 学校及び児童福祉施設としての単一施設
・幼稚園型認定こども園  … 幼稚園（学校）＋保育所機能
  ＊利用時間：①朝～昼すぎ（満３歳～小学校就学前）【１号認定が必要】
        （利用時間の前後や長期休業中に預かり保育を行っている園もあります。）
        ②朝～夕（０歳 ～ 満３歳未満） 【３号認定が必要】
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"〃 （満３歳以上～小学校就学前）【２号認定が必要】
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        （利用時間の前後に延長保育を行っている園もあります。）

○地域型保育  …… ０歳から２歳の子どもを、基本的に少人数で保育する事業
  神戸市には以下の3類型があります（平成28年度現在）。
・小規模保育 … 少人数（6～19人）を対象に、家庭的保育に近い雰囲気のもと、保育を行う。
・家庭的保育  … 家庭的な雰囲気のもとで、少人数（～5人）を対象に保育を行う。
・事業所内保育 … 事業所の保育施設などで従業員の子どもと地域の子どもを一緒に保育する。
  ＊利用時間：朝～夕（０歳 ～ 満３歳未満） 【３号認定が必要】
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"（利用時間の前後に延長保育を行っている園もあります。）
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
